icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c690;980;990;970;;;310
c691;980;990;970;;;310
c692;980;990;970;;;310
c693;980;990;970;;;310
c694;980;990;970;;;310
c695;980;990;970;;;310
c696;980;990;970;;;310
c698;980;990;970;;;310
c699;980;990;970;;;310
c70;980;990;970;321;320;
c700;980;990;970;321;320;
c701;980;990;970;321;320;
c709;980;990;970;321;320;
c71;980;990;970;321;320;
c710;980;990;970;321;320;
c711;980;990;970;321;320;
c712;980;990;970;321;320;
c713;980;990;970;321;320;
c714;980;990;970;321;320;
c715;980;990;970;321;320;
c716;980;990;970;321;320;
c717;980;990;970;321;320;
c718;980;990;970;321;320;
c719;980;990;970;321;320;
c72;980;990;970;321;320;
c720;980;990;970;321;320;
c721;980;990;970;321;320;
c722;980;990;970;321;320;
c723;980;990;970;321;320;
c724;980;990;970;321;320;
c725;980;990;970;321;320;
c728;980;990;970;321;320;
c729;980;990;970;321;320;
c73;980;990;970;;;330
c74;980;990;970;;;410
c740;980;990;970;;;410
c741;980;990;970;;;410
c749;980;990;970;;;410
c75;980;990;970;;;410
c750;980;990;970;;;410
c751;980;990;970;321;;315
c752;980;990;970;321;;315
c753;980;990;970;321;;315
c754;980;990;970;;;410
c755;980;990;970;;;410
c758;980;990;970;;;410
c759;980;990;970;;;410
c76;980;990;970;;;420
c760;980;990;970;;;420
c761;980;990;970;;;420
c762;980;990;970;;;420
c763;980;990;970;;;420
c764;980;990;970;;;420
c765;980;990;970;;;420
c767;980;990;970;;;420
c768;980;990;970;;;420
c77;980;990;970;;;420
c770;980;990;970;;;420
c771;980;990;970;;;420
c772;980;990;970;;;420
c773;980;990;970;;;420
c774;980;990;970;;;420
c775;980;990;970;;;420
c778;980;990;970;;;420
c779;980;990;970;;;420
c78;980;990;970;;;420
c780;980;990;970;;;420
c781;980;990;970;;;420
c782;980;990;970;;;420
c783;980;990;970;;;420
c784;980;990;970;;;420
c785;980;990;970;;;420
c786;980;990;970;;;420
c787;980;990;970;;;420
c788;980;990;970;;;420
